Year,beer_litres,Population,cpi_index
1921,149500000.0,3264500,
1922,125200000.0,3305700,
1923,126800000.0,3339700,
1924,129500000.0,3372500,
1925,141800000.0,3405700,
1926,134900000.0,3439200,
1927,123700000.0,3466700,
1928,121198000.0,3487300,
1929,127636000.0,3510500,
1930,139196000.0,3530600,
1931,134800000.0,3556900,
1932,120074000.0,3589700,
1933,121344000.0,3620300,
1934,131280000.0,3650500,
1935,132783000.0,3682900,
1936,136400000.0,3711100,
1937,139482000.0,3737700,
1938,141661000.0,3764900,
1939,150565000.0,3793900,
1940,124279000.0,3826100,
1941,142996000.0,3849100,
1942,131792000.0,3882100,
1943,148416000.0,3925900,
1944,168701000.0,3972700,
1945,138060000.0,4023300,
1946,185187000.0,4075000,
1947,199000000.0,4123500,
1948,212000000.0,4168400,
1949,224000000.0,4210700,
1950,229000000.0,4251500,
1951,217000000.0,4285400,
1952,212000000.0,4315300,
1953,226000000.0,4349400,
1954,226000000.0,4389200,
1955,225435000.0,4424000,
1956,,4454000,
1957,,4479000,
1958,,4500700,
1959,,4531900,
1960,290239000.0,4565500,
1961,,4593800,
1962,,4629600,
1963,,4665900,
1964,,4703200,
1965,354065000.0,4741000,
1966,391913000.0,4777000,
1967,411478000.0,4817700,
1968,428674000.0,4852900,
1969,463043000.0,4876800,
1970,490239000.0,4906900,
1971,526500000.0,4950598,
1972,564848000.0,4975653,
1973,596152000.0,5007538,
1974,592848000.0,5036184,
1975,621130000.0,5054410,
1976,630848000.0,5065313,
1977,618978000.0,5079879,
1978,625739000.0,5096959,
1979,646022000.0,5111536,
1980,654152000.0,5122065,
1981,659109000.0,5123989,
1982,676109000.0,5119155,
1983,704587000.0,5116464,
1984,684196000.0,5112130,
1985,663065000.0,5111108,
1986,664087000.0,5116273,
1987,641891000.0,5124794,
1988,634696000.0,5129254,
1989,639717000.0,5129778,
1990,640848000.0,5135409,
1991,629239000.0,5146469,
1992,637500000.0,5162126,
1993,635196000.0,5180614,
1994,643109000.0,5196641,
1995,639935000.0,5215718,
1996,632087000.0,5251027,
1997,614000000.0,5275121,
1998,569087000.0,5294860,
1999,554232000.0,5313577,
2000,544173000.0,5330020,
2001,527513000.0,5349212,
2002,520171000.0,5368354,
2003,520607000.0,5383507,
2004,486779000.0,5397640,
2005,483620000.0,5411405,
2006,473604000.0,5427459,
2007,461647000.0,5447084,
2008,440333000.0,5475791,
2009,405923000.0,5511451,98.38333333333333
2010,382572000.0,5534738,97.90833333333335
2011,379669000.0,5560628,100.04166666666667
2012,356760000.0,5580516,108.72500000000001
2013,353157000.0,5602628,109.27499999999999
2014,365080000.0,5627235,102.75833333333333
2015,354398000.0,5659715,100.0
2016,368317000.0,5707251,100.10833333333333
2017,357563000.0,5748769,101.58333333333333
2018,360339000.0,5781190,104.58333333333333
2019,358822000.0,5806081,105.72500000000001
2020,355101000.0,5822763,103.09166666666665
2021,383236000.0,5840045,103.09166666666665
2022,377750000.0,5873420,110.55
2023,357604000.0,5932654,118.95833333333333
2024,363446000.0,5961249,124.49166666666667
