TID;INDHOLD
1901;2447300
1902;2476700
1903;2505800
1904;2532200
1905;2560300
1906;2588900
1907;2621200
1908;2652000
1909;2687200
1910;2721800
1911;2757100
1912;2788000
1913;2820100
1914;2850900
1915;2885800
1916;2921400
1917;2957700
1918;2991300
1919;3027100
1920;3061300
1921;3264500
1922;3305700
1923;3339700
1924;3372500
1925;3405700
1926;3439200
1927;3466700
1928;3487300
1929;3510500
1930;3530600
1931;3556900
1932;3589700
1933;3620300
1934;3650500
1935;3682900
1936;3711100
1937;3737700
1938;3764900
1939;3793900
1940;3826100
1941;3849100
1942;3882100
1943;3925900
1944;3972700
1945;4023300
1946;4075000
1947;4123500
1948;4168400
1949;4210700
1950;4251500
1951;4285400
1952;4315300
1953;4349400
1954;4389200
1955;4424000
1956;4454000
1957;4479000
1958;4500700
1959;4531900
1960;4565500
1961;4593800
1962;4629600
1963;4665900
1964;4703200
1965;4741000
1966;4777000
1967;4817700
1968;4852900
1969;4876800
1970;4906900
1971;4950598
1972;4975653
1973;5007538
1974;5036184
1975;5054410
1976;5065313
1977;5079879
1978;5096959
1979;5111536
1980;5122065
1981;5123989
1982;5119155
1983;5116464
1984;5112130
1985;5111108
1986;5116273
1987;5124794
1988;5129254
1989;5129778
1990;5135409
1991;5146469
1992;5162126
1993;5180614
1994;5196641
1995;5215718
1996;5251027
1997;5275121
1998;5294860
1999;5313577
2000;5330020
2001;5349212
2002;5368354
2003;5383507
2004;5397640
2005;5411405
2006;5427459
2007;5447084
2008;5475791
2009;5511451
2010;5534738
2011;5560628
2012;5580516
2013;5602628
2014;5627235
2015;5659715
2016;5707251
2017;5748769
2018;5781190
2019;5806081
2020;5822763
2021;5840045
2022;5873420
2023;5932654
2024;5961249
2025;5992734
