"Consumer price index (2015=100) by commodity group, time and unit"

" "," ","Index","Percentage change compared to previous month (per cent)","Percentage change compared to same month the year before (per cent)"
"02.1.1.1 Spirits and liqueurs"
" ","2001M01",..,..,..
" ","2001M02",..,..,..
" ","2001M03",..,..,..
" ","2001M04",..,..,..
" ","2001M05",..,..,..
" ","2001M06",..,..,..
" ","2001M07",..,..,..
" ","2001M08",..,..,..
" ","2001M09",..,..,..
" ","2001M10",..,..,..
" ","2001M11",..,..,..
" ","2001M12",..,..,..
" ","2002M01",..,..,..
" ","2002M02",..,..,..
" ","2002M03",..,..,..
" ","2002M04",..,..,..
" ","2002M05",..,..,..
" ","2002M06",..,..,..
" ","2002M07",..,..,..
" ","2002M08",..,..,..
" ","2002M09",..,..,..
" ","2002M10",..,..,..
" ","2002M11",..,..,..
" ","2002M12",..,..,..
" ","2003M01",..,..,..
" ","2003M02",..,..,..
" ","2003M03",..,..,..
" ","2003M04",..,..,..
" ","2003M05",..,..,..
" ","2003M06",..,..,..
" ","2003M07",..,..,..
" ","2003M08",..,..,..
" ","2003M09",..,..,..
" ","2003M10",..,..,..
" ","2003M11",..,..,..
" ","2003M12",..,..,..
" ","2004M01",..,..,..
" ","2004M02",..,..,..
" ","2004M03",..,..,..
" ","2004M04",..,..,..
" ","2004M05",..,..,..
" ","2004M06",..,..,..
" ","2004M07",..,..,..
" ","2004M08",..,..,..
" ","2004M09",..,..,..
" ","2004M10",..,..,..
" ","2004M11",..,..,..
" ","2004M12",..,..,..
" ","2005M01",..,..,..
" ","2005M02",..,..,..
" ","2005M03",..,..,..
" ","2005M04",..,..,..
" ","2005M05",..,..,..
" ","2005M06",..,..,..
" ","2005M07",..,..,..
" ","2005M08",..,..,..
" ","2005M09",..,..,..
" ","2005M10",..,..,..
" ","2005M11",..,..,..
" ","2005M12",..,..,..
" ","2006M01",..,..,..
" ","2006M02",..,..,..
" ","2006M03",..,..,..
" ","2006M04",..,..,..
" ","2006M05",..,..,..
" ","2006M06",..,..,..
" ","2006M07",..,..,..
" ","2006M08",..,..,..
" ","2006M09",..,..,..
" ","2006M10",..,..,..
" ","2006M11",..,..,..
" ","2006M12",..,..,..
" ","2007M01",..,..,..
" ","2007M02",..,..,..
" ","2007M03",..,..,..
" ","2007M04",..,..,..
" ","2007M05",..,..,..
" ","2007M06",..,..,..
" ","2007M07",..,..,..
" ","2007M08",..,..,..
" ","2007M09",..,..,..
" ","2007M10",..,..,..
" ","2007M11",..,..,..
" ","2007M12",..,..,..
" ","2008M01",..,..,..
" ","2008M02",..,..,..
" ","2008M03",..,..,..
" ","2008M04",..,..,..
" ","2008M05",..,..,..
" ","2008M06",..,..,..
" ","2008M07",..,..,..
" ","2008M08",..,..,..
" ","2008M09",..,..,..
" ","2008M10",..,..,..
" ","2008M11",..,..,..
" ","2008M12",..,..,..
" ","2009M01",98.0,..,..
" ","2009M02",98.0,0.0,..
" ","2009M03",98.3,0.3,..
" ","2009M04",98.5,0.2,..
" ","2009M05",98.4,-0.1,..
" ","2009M06",98.4,0.0,..
" ","2009M07",98.4,0.0,..
" ","2009M08",98.4,0.0,..
" ","2009M09",98.2,-0.2,..
" ","2009M10",98.0,-0.2,..
" ","2009M11",97.9,-0.1,..
" ","2009M12",98.8,0.9,..
" ","2010M01",98.8,0.0,0.8
" ","2010M02",98.8,0.0,0.8
" ","2010M03",99.1,0.3,0.8
" ","2010M04",99.2,0.1,0.7
" ","2010M05",99.2,0.0,0.8
" ","2010M06",99.0,-0.2,0.6
" ","2010M07",98.8,-0.2,0.4
" ","2010M08",98.8,0.0,0.4
" ","2010M09",98.3,-0.5,0.1
" ","2010M10",98.6,0.3,0.6
" ","2010M11",98.7,0.1,0.8
" ","2010M12",98.7,0.0,-0.1
" ","2011M01",98.3,-0.4,-0.5
" ","2011M02",98.4,0.1,-0.4
" ","2011M03",98.4,0.0,-0.7
" ","2011M04",98.4,0.0,-0.8
" ","2011M05",98.5,0.1,-0.7
" ","2011M06",98.5,0.0,-0.5
" ","2011M07",98.1,-0.4,-0.7
" ","2011M08",98.2,0.1,-0.6
" ","2011M09",97.8,-0.4,-0.5
" ","2011M10",97.8,0.0,-0.8
" ","2011M11",97.3,-0.5,-1.4
" ","2011M12",97.0,-0.3,-1.7
" ","2012M01",97.1,0.1,-1.2
" ","2012M02",98.0,0.9,-0.4
" ","2012M03",98.3,0.3,-0.1
" ","2012M04",97.9,-0.4,-0.5
" ","2012M05",97.8,-0.1,-0.7
" ","2012M06",98.0,0.2,-0.5
" ","2012M07",98.3,0.3,0.2
" ","2012M08",98.3,0.0,0.1
" ","2012M09",98.6,0.3,0.8
" ","2012M10",98.3,-0.3,0.5
" ","2012M11",97.8,-0.5,0.5
" ","2012M12",97.5,-0.3,0.5
" ","2013M01",97.4,-0.1,0.3
" ","2013M02",99.0,1.6,1.0
" ","2013M03",98.6,-0.4,0.3
" ","2013M04",99.2,0.6,1.3
" ","2013M05",98.6,-0.6,0.8
" ","2013M06",98.8,0.2,0.8
" ","2013M07",100.0,1.2,1.7
" ","2013M08",100.7,0.7,2.4
" ","2013M09",99.7,-1.0,1.1
" ","2013M10",99.9,0.2,1.6
" ","2013M11",100.7,0.8,3.0
" ","2013M12",100.3,-0.4,2.9
" ","2014M01",99.9,-0.4,2.6
" ","2014M02",100.7,0.8,1.7
" ","2014M03",100.0,-0.7,1.4
" ","2014M04",98.7,-1.3,-0.5
" ","2014M05",98.6,-0.1,0.0
" ","2014M06",99.7,1.1,0.9
" ","2014M07",99.0,-0.7,-1.0
